trans_num,cc_num,merchant,category,amt,trans_date_trans_time,city,state,is_fraud
TXN-000001,3204000000,Merchant_travel_48,travel,130.55,2024-01-01 08:30:00,Atlanta,GA,0
TXN-000002,2049000001,Merchant_food_dining_6,food_dining,216.25,2024-01-02 08:02:00,Miami,FL,0
TXN-000003,7525000002,Merchant_shopping_pos_15,shopping_pos,258.27,2024-01-03 11:18:00,Seattle,WA,0
TXN-000004,3221000003,Merchant_misc_net_14,misc_net,135.03,2024-01-04 11:49:00,Columbus,OH,0
TXN-000005,2648000004,Merchant_gas_transport_8,gas_transport,80.26,2024-01-05 20:51:00,Philadelphia,PA,0
TXN-000006,2410000005,Merchant_entertainment_39,entertainment,79.78,2024-01-06 13:44:00,Houston,TX,0
TXN-000007,6508000006,Merchant_shopping_pos_34,shopping_pos,257.87,2024-01-07 09:15:00,Atlanta,GA,0
TXN-000008,3936000007,Merchant_kids_pets_36,kids_pets,310.45,2024-01-08 16:43:00,Charlotte,NC,0
TXN-000009,8241000008,Merchant_food_dining_15,food_dining,294.62,2024-01-09 19:45:00,Atlanta,GA,0
TXN-000010,3547000009,Merchant_kids_pets_42,kids_pets,146.59,2024-01-10 17:55:00,New York,NY,0
TXN-000011,5061000010,Merchant_personal_care_26,personal_care,43.33,2024-01-11 13:32:00,New York,NY,0
TXN-000012,9382000011,Merchant_gas_transport_8,gas_transport,6.56,2024-01-12 08:17:00,Houston,TX,0
TXN-000013,4069000012,Merchant_misc_net_10,misc_net,226.93,2024-01-13 16:54:00,New York,NY,0
TXN-000014,6870000013,Merchant_health_fitness_32,health_fitness,357.17,2024-01-14 15:50:00,Columbus,OH,0
TXN-000015,4110000014,Merchant_gas_transport_1,gas_transport,186.78,2024-01-15 15:57:00,Charlotte,NC,0
TXN-000016,4822000015,Merchant_shopping_pos_28,shopping_pos,392.49,2024-01-16 17:23:00,Seattle,WA,0
TXN-000017,4829000016,Merchant_misc_pos_12,misc_pos,174.1,2024-01-17 13:46:00,Seattle,WA,0
TXN-000018,4232000017,Merchant_food_dining_48,food_dining,284.18,2024-01-18 20:34:00,Columbus,OH,0
TXN-000019,1330000018,Merchant_shopping_net_48,shopping_net,175.16,2024-01-19 12:01:00,Chicago,IL,0
TXN-000020,6944000019,Merchant_food_dining_34,food_dining,325.5,2024-01-20 14:36:00,Chicago,IL,0
TXN-000021,7474000020,Merchant_home_7,home,292.57,2024-01-21 10:01:00,Seattle,WA,0
TXN-000022,6497000021,Merchant_kids_pets_3,kids_pets,251.04,2024-01-22 11:46:00,Miami,FL,0
TXN-000023,2753000022,Merchant_health_fitness_27,health_fitness,58.75,2024-01-23 18:51:00,Los Angeles,CA,0
